CLAVE,irs_value,i_sdsalud,irs_wave
15098,-0.879334,16.579498,2020
15099,-1.010396,33.582047,2020
15100,-0.61818,36.355327,2020
15101,-0.6542,33.617774,2020
15102,-0.554741,22.675765,2020
15103,-1.143319,24.804862,2020
15104,-1.270055,28.12964,2020
15105,0.097939,10.285876,2020
15106,-1.055367,33.290395,2020
15107,-0.769349,20.35316,2020
15108,-1.282163,31.464366,2020
15109,-1.277346,30.062497,2020
15110,-0.726684,43.088164,2020
15111,0.642086,26.791178,2020
15112,0.141563,26.892306,2020
15113,-0.074316,30.706655,2020
15114,1.054294,40.348072,2020
15115,-0.874135,41.361448,2020
15116,-0.553528,7.242122,2020
15117,0.723989,11.307499,2020
15118,-0.795792,35.204933,2020
15119,0.334047,26.522593,2020
15120,-1.110164,37.707654,2020
15121,-1.377332,27.261543,2020
15122,-0.914528,42.915419,2020
15123,0.239679,17.569912,2020
15124,1.154552,17.34178,2020
15125,-1.143247,36.726466,2020
16001,-0.47751,42.421025,2020
16002,-0.062369,51.030229,2020
16003,-0.651338,42.7,2020
16004,-0.398368,29.090544,2020
16005,-0.233614,35.383768,2020
16006,-0.486702,42.862011,2020
16007,-0.326063,31.28365,2020
16008,1.528749,20.469282,2020
16009,-0.531118,47.761112,2020
16010,-0.086817,19.904584,2020
16011,-0.734971,29.381046,2020
16012,-0.189167,50.478721,2020
16013,0.069319,18.711857,2020
16014,-0.354501,28.892022,2020
16015,-0.268599,25.91555,2020
16016,-0.367754,47.445743,2020
16017,-0.287302,41.106359,2020
16018,-0.579551,47.058203,2020
16019,-0.546476,46.004555,2020
16020,-0.493717,44.436643,2020
16021,1.058064,30.910702,2020
16022,-0.654216,50.214814,2020
16023,-0.566511,49.707209,2020
16024,0.304729,28.053046,2020
16025,0.225376,46.119329,2020
16026,0.027981,16.404777,2020
16027,-0.054908,27.62945,2020
16028,-0.77547,29.161093,2020
16029,0.40742,19.316156,2020
16030,-0.495814,43.654008,2020
16031,-0.339867,42.980387,2020
16032,-0.222833,36.869233,2020
16033,-0.455858,25.18867,2020
16034,-0.446255,43.699885,2020
16035,-0.110391,24.321677,2020
16036,-0.781289,45.680179,2020
16037,-0.408583,46.947766,2020
16038,-0.324638,32.346985,2020
16039,-0.510292,27.775929,2020
16040,-0.258159,44.672287,2020
16041,-0.399228,35.934676,2020
16042,-0.420619,44.860859,2020
16043,-0.540679,38.356523,2020
